Official Name of Satellite,Country/Organization of UN Registry,Longitude,Latitude,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Year
Cubebug 1,Argentina,-95.712891,37.09024,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,630,653,0.00164,98.05,97.55,2,3700,3600,2 yr.,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Jiuquan Satellite Launch Center,CZ-2D,2013-018D,39153,2013
Cubebug 2,Argentina,-95.712891,37.09024,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Argentina,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,594,715,0.00861,97.8,97.8,2,3700,3600,3 yr.,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,2013
BRITE-CA-1,Canada,-95.712891,37.09024,"University of Toronto, Institute for Aerospace Studies",Canada,Civil,Space Science,Optical Imaging,LEO,Sun-Synchronous,0,613,739,0.00894,97.97,98.27,10,"1,050 (BOL)","1,800 (BOL)",15,"University of Toronto, Institute for Aerospace Studies",Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020,2014
BeijinGalaxy-1,China,-95.712891,37.09024,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),China,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,703,0.00156,97.9,98.6,166,155,50,7,Tsinghua University/University of Surrey,China/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,2005
DCBB,China,-3.435973,55.378052,China Amateur Satellite - CAMSAT,China,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,514,536,0.0016,97.46,95.13,3,1,5200,2, Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912,2015
KJSY-1,China,104.195396,35.86166,Tsinghua University,China,Civil,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,520,540,0.00145,97.46,95.23,1,2450,5500,5,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049R,40914,2015
LilacSat-2,China,104.195396,35.86166,Harbin Institute/China Amateur Satellite - CAMSAT,China,Civil,Technology Development,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,520,541,0.00152,97.47,95.24,11,12,14,5,Harbin Institute of Technology,China,Taiyuan Launch Center,Long March 6,2015-049K,40908,2015
BeeSat-1,Germany,-95.712891,37.09024,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,Electronic Intelligence,LEO,Sun-Synchronous,0,709,718,0.000635,98.3,99,1,1487,6000,1 yr.,Technische Universität Berlin,Germany,Satish Dhawan Space Center,PSLV,2009-051C,35933,2009
BeeSat-2,Germany,-95.712891,37.09024,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,Electronic Intelligence,LEO,Non-Polar Inclined,0,555,579,0.00173,64.8,96.01,1,1487,6000,1 yr.,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015G,39136,2013
BeeSat-3,Germany,53.847816,23.424076,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,Electronic Intelligence,LEO,Non-Polar Inclined,0,554,581,0.00195,64.8,96.01,1,1487,6000,1 yr.,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015E,39134,2013
"Gravity Recovery and Climate Experiment (Grace 1, ""Tom and Jerry"")",Germany/USA,-95.712891,37.09024,"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Germany/USA,Civil,Earth Observation,Earth Science,LEO,Polar,0,396,404,0.000591,89,93.4,480,445,150,5,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012A,27391,2002
"Gravity Recovery and Climate Experiment (Grace 2, ""Tom and Jerry"")",Germany/USA,-95.712891,37.09024,"GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas",Germany/USA,Civil,Earth Observation,Earth Science,LEO,Polar,0,396,404,0.000591,89,93.4,480,445,150,5,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,Germany/USA,Plesetsk Cosmodrome,Rokot,2002-012B,27392,2002
Jugnu,India,78.962883,20.593683,Indian Institute of Technology Kanpur,India,Civil,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,839,866,0.00187,20,102,3,1230,3,1 yr.,Indian Institute of Technology Kanpur,India,Satish Dhawan Space Center,PSLV,2011-058B,37839,2011
Sathyabamasat,India,78.962883,20.593683,Sathyabama University/IRSO,India,Civil,Earth Science,Optical Imaging,LEO,Sun-Synchronous,0,501,517,0.00116,97.5,94.8,2,478,906,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV XL,2016-040B,41600,2016
ChubuSat 1,Japan,-95.712891,37.09024,Nagoya University and Daido University,Japan,Civil,Technology Development,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,506,538,0.00232,97.48,95.07,50,1450,9500,15,Nagoya University and Daido University,Japan,Dombarovsky Air Base,Dnepr,2014-070C,40300,2014
ChubuSat 2,Japan,-95.712891,37.09024,Nagoya University and Daido University,Japan,Civil,Technology Development,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,560,579,0.00137,31,96.05,50,1450,9500,15,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012B,41338,2016
ChubuSat 3,Japan,-95.712891,37.09024,Nagoya University and Daido University,Japan,Civil,Technology Development,Optical Imaging/Meterology,LEO,Sun-Synchronous,0,558,579,0.00151,31,96,50,1450,9500,15,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012C,41339,2016
Cubesat XI-IV ,Japan,-3.74922,40.463669,"Department of Astronautics, University of Tokyo",Japan,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,815,830,0.00104,98.7,101.3,2,1,3600,4 yr.,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848,2003
Ibuki,Japan,-95.712891,37.09024,Japan Aerospace Exploration Agency (JAXA),Japan,Civil,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,668,670,0.000142,98.1,98.1,1750,445,3800,5,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2009-002A,33492,2009
Horyu-4,Japan,-95.712891,37.09024,Kyushu Institute of Technology (KIT),Japan,Civil,Technology Development,Radar Imaging,LEO,Sun-Synchronous,0,557,579,0.00159,31,96,10,2175,5,1 yr.,Kyushu Institute of Technology (KIT),Japan,Tanegashima Space Center,H-2A,2016-012D,41340,2016
Kukai,Japan,138.25293,36.204823,Kanagawa University,Japan,Civil,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,647,667,0.00142,98.03,97.88,7,1150,1400,15,Kanagawa University,Japan,Tanegashima Space Center,H-2A,2009-002G,33498,2009
Rising-2,Japan,138.25293,36.204823,Tohoku University/Hokkaido University,Japan,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,625,630,0.000357,97.88,97.27,41,55,42,1.5,Tohoku University/Hokkaido University,Japan,Tanegashima Space Center,H-2A,2014-029D,39769,2014
SEEDS 2,Japan,138.25293,36.204823,Nihon University,Japan,Civil,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,607,627,0.00143,97.8,97,3,48,120,2,Nihon University,Japan,Satish Dhawan Space Center,PSLV C9,2008-021J,32791,2008
SOHLA 1,Japan,138.25293,36.204823,Astrotech SOHLA,Japan,Civil,Technology Development,Earth Science,LEO,Sun-Synchronous,0,657,665,0.000569,98.1,98,50,467,5335,6,Space Oriented Higashiosaka Leading Association,Japan,Tanegashima Space Center,H-2A,2009-002E,33496,2009
Radio-ROSTO,Russia,105.318756,61.52401,RS3A Control Station,Russia,Civil,Communications,Amateur Radio,MEO,Non-Polar Inclined,0,1885,2165,0.0167,64.59,127.45,2924,150,86,7,Nilakt Posto and radio amateurs,Russia,Baikonur Cosmodrome,Rokot,1994-085A,23439,1994
Kent Ridge 1,Singapore,,,National University of Singapore,Singapore,Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,534,551,0.00123,14.98,95.49,78,500,5500,15,National University of Singapore,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077B,41167,2015
CINEMA-1,USA,-95.712891,37.09024,University of California-Berkeley/Imperial College-London,USA,Civil,Space Science,Optical Imaging/Meterology,LEO,Non-Polar Inclined,0,484,791,0.0219,64.6,97.4,3,1450,9500,15,"Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU), Imperial College London",USA,Vandenberg AFB,Atlas 5,2012-048G,38764,2012
CP-10,USA,-95.712891,37.09024,California Polytechnic State University/NASA JPL,USA,Civil,Earth Observation,Earth Science,LEO,Elliptical,0,441,657,0.0156,99.1,95.6,4,3700,3600,5,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380,2015
CSSWE,USA,-95.712891,37.09024,University of Colorado,USA,Civil,Earth Science,Radar Imaging,LEO,Non-Polar Inclined,0,479,791,0.0223,64.6,97.4,3,3700,3600,1 yr.,University of Colorado,USA,Vandenberg AFB,Atlas 5,2012-048D,38761,2012
CUSat-1,USA,-3.74922,40.463669,"Space Systems Design Studio, Cornell University",USA,Civil,Technology Development,Radar Imaging,LEO,Polar,0,326,1465,0.0784,80.99,102.89,2,1,2.2,0.5,"Space Systems Design Studio, Cornell University",USA,Vandenberg AFB,Falcon 9,2013-055B,39266,2013
USA 222,USA,-95.712891,37.09024,University of Texas - Austin,USA,Civil,Technology Development,Automatic Identification System (AIS),LEO,Polar,0,627,654,0.00193,71.97,97.54,55,1100,18000,15,University of Texas - Austin,USA,Kodiak Launch Complex,Minotaur 4,2010-062F,37227,2010
ParkinsonSat-1,USA,,,US Naval Academy,USA,Civil,Technology Development,Optical Imaging,LEO,Non-Polar Inclined,0,356,700,0.0249,55,95.19,5,1740,6000,15,US Naval Academy,USA,Cape Canaveral,Atlas 5,2015-025D,40654,2015
AprizeSat 10,Argentina,-95.712891,37.09024,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,0.00852,97.9,98,12,12,"1,900",12,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,2014
AprizeSat 8,Argentina,-3.74922,40.463669,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,0.00536,97.8,97.99,12,12,"1,900",12,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,2013
ArSat 2,Argentina,-95.712891,37.09024,ArSat,Argentina,Commercial,Communications,Automatic Identification System (AIS),GEO,Non-Polar Inclined,-81,35786,35801,0.000178,0.01,1436.06,2977,1700,4600,15,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941,2015
LatinSat A,Argentina,-63.616673,-38.416096,Aprize Satellites Argentina,Argentina,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,610,668,0.00414,64.6,97.5,60,12,14,5,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612,2002
LatinSat B,Argentina,-63.616673,-38.416096,Aprize Satellites Argentina,Argentina,Commercial,Communications,Optical Imaging,LEO,Non-Polar Inclined,0,603,717,0.00811,64.6,97.9,60,12,14,5,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606,2002
NBN-1A,Australia,133.775131,-25.274399,NBN Co (operated by Optus),Australia,Commercial,Communications,Earth Science/Meterology,GEO,Non-Polar Inclined,150,35744,35777,0.000392,0.07,1434.76,6440,810,16400,10,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2015-054A,40940,2015
Optus B3 ,Australia,133.775131,-25.274399,Optus Communications (Parent: Signapore Telecom),Australia,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,164,35778,35796,0.000213,0.02,1436.12,2858,1582,3000,Oct-14,Hughes Space and Communications,USA,Xichang Satellite Launch Center,Long March CZ-2E,1994-055A,23227,1994
Optus D1,Australia,133.775131,-25.274399,Optus Communications (Parent: Singapore Telecom),Australia,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,160.06,35774,35797,0.000273,0.02,1436.08,2300,1582,4800,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2006-043B,29495,2006
Optus D2,Australia,133.775131,-25.274399,Optus Communications (Parent: Singapore Telecom),Australia,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,152.05,35774,35799,0.000297,0.03,1436.1,2400,1582,3800,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-044A,32252,2007
Optus D3,Australia,133.775131,-25.274399,Optus Communications (Parent: Singapore Telecom),Australia,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,155.98,35775,35795,0.000237,0.04,1436.04,2501,1582,5000,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2009-044B,35756,2009
Amazonas-1,Brazil,-95.712891,37.09024,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-61.02,35776,35797,0.000249,0.04,1436.1,4545,2000,"9,500",15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393,2004
Amazonas-2,Brazil,-95.712891,37.09024,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-61,35767,35805,0.000451,0.03,1436.08,5465,6,15300,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942,2009
Amazonas-3,Brazil,-95.712891,37.09024,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-61,35781,35791,0.000119,0.03,1436.05,6265,2778,14000,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,2013
Brazilsat B-3,Brazil,-95.712891,37.09024,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-74.96,35769,35803,0.000403,0.04,1436.07,1780,"1,050 (BOL)","1,800 (BOL)",12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,1998-006A,25152,1998
Brazilsat B-4,Brazil,-95.712891,37.09024,Star One (SES [Société Européenne des Satellites (SES)]),Brazil,Commercial,Communications,Optical Imaging,GEO,Sun-Synchronous,-84.03,35772,35800,0.000332,0.07,1436.09,2495,"1,050 (BOL)","1,800 (BOL)",12,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44LP,2000-046A,26469,2000
Eutelsat 117 West B,Brazil,-95.712891,37.09024,Eutelsat Americas,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-116.8,35779,35795,0.00019,0.02,1436.1,5500,2300,13000,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038B,41589,2016
Eutelsat 65 West-A,Brazil,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-65,35776,35796,0.000237,0.08,1436.07,6654,1805,16000,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5,2016-014A,41382,2016
AprizeSat 9,Canada,-95.712891,37.09024,exactEarth,Canada,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,0.00725,97.9,98,12,12,"1,900",12,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,2014
Arabsat 7F,Canada,-95.712891,37.09024,Arab Satellite Communications Org. (ASCO),Multinational,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,44.5,35778,35794,0.00019,0.01,1436.09,3600,1700,8600,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740,1999
Ciel-2,Canada,-95.712891,37.09024,Ciel Satellite Group,Canada,Commercial,Communications,Optical Imaging/Meterology,GEO,Sun-Synchronous,-129,35782,35788,7.12E-05,0.05,1436.05,5585,1450,9500,15,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,2008
exactView 1,Canada,-95.712891,37.09024,exactEarth,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,806,821,0.00104,99,101.2,100,3200,11000,15,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Soyuz-Fregat,2012-039C,38709,2012
exactView 6,Canada,-3.74922,40.463669,exactEarth,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,627,694,0.00476,98.2,98,12,12,11000,15,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044F,37793,2011
exactView 9,Canada,-95.712891,37.09024,exactEarth,Canada,Commercial,Communications,Automatic Identification System (AIS),LEO,Equatorial,0,630,649,0.00136,6,97.5,6,6,11000,15,Space Flight Laboratory (SFL),Canada,Satish Dhawan Space Centre,PSLV C-30,2015-052C,40932,2015
GHGSat-D,Canada,-95.712891,37.09024,"GHGSat, Inc.",Canada,Commercial,Earth Science,Optical Imaging,LEO,Sun-Synchronous,0,500,512,0.000873,97.5,94.7,15,2500,273,1.5,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Canada,Satish Dhawan,PSLV XL,2016-040D,41602,2016
MSAT 1,Canada,-106.346771,56.130367,Mobile Satellite Ventures,USA/Canada,Commercial,Communications,Earth Science,GEO,Sun-Synchronous,-106.43,35763,35809,0.000546,1.37,1436.09,2850,1330,3300,12,Spar Aerospace,Canada,Guiana Space Center,Ariane 42P,1996-022A,23846,1996
Nimiq 2,Canada,-106.346771,56.130367,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,Earth Science/Meterology,GEO,Non-Polar Inclined,-91.25,35779,35793,0.000166,0.01,1436.08,3600,1700,8600,12,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,2002-062A,27632,2002
Nimiq 4,Canada,-106.346771,56.130367,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,Earth Science/Meterology,GEO,Non-Polar Inclined,-81.96,35779,35794,0.000178,0.01,1436.1,4850,1700,12000,15,EADS Astrium,France,Baikonur Cosmodrome,Proton,2008-044A,33373,2008
Radarsat-2,Canada,-106.346771,56.130367,Radarsat International,Canada,Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,791,793,0.00014,98.6,100.7,2924,150,86,7,"MacDonald, Dettwiler/Thales Alenia Spazio",Canada/Italy,Baikonur Cosmodrome,Soyuz,2007-061A,32382,2007
Apstar 1A,China,-95.712891,37.09024,APT Satellite Holdings Ltd.,China,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,51.47,35779,35790,0.00013,5.89,1436.03,1383,726,"1,900",12,Hughes,USA,Xichang Satellite Launch Center,Long March 3,1996-039A,23943,1996
Apstar 9,China,-95.712891,37.09024,APT Satellite Holdings Ltd.,China,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,142,35782,35788,7.12E-05,0.12,1436.01,5200,726,10500,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982,2015
Apstar 9A,China,-95.712891,37.09024,APT Satellite Holdings Ltd.,China,Commercial,Communications,Automatic Identification System (AIS),GEO,Sun-Synchronous,87.68,35778,35795,0.000202,0.02,1436.12,3000,1418,"6,797",15,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354,1998
AsiaSat-3S,China,-95.712891,37.09024,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,Automatic Identification System (AIS),GEO,Non-Polar Inclined,105.55,35780,35792,0.000142,0.02,1436.07,3480,2500,10000,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657,1999
AsiaSat-4,China,-95.712891,37.09024,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,Automatic Identification System (AIS),GEO,Non-Polar Inclined,122.24,35784,35789,5.93E-05,0,1436.1,4137,2275,9500,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718,2003
AsiaSat-8,China,-95.712891,37.09024,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,Automatic Identification System (AIS),GEO,Non-Polar Inclined,105.5,35781,35793,0.000142,0.07,1436.1,4500,2275,8500,15,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107,2014
ChinaSat 1C,China,-95.712891,37.09024,China Satellite Communication Corp. (China Satcom),China,Commercial,Communications,Optical Imaging,GEO,Deep Highly Eccentric,81,35778,35796,0.000213,0.01,1436.12,5200,1450,8000,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-073A,41103,2015
Ling Qiao,China,104.195396,35.86166,Xinwei Telecom Technology Company,China,Commercial,Technology Development,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,779,808,0.00202,98.47,100.73,100,12,14,5,Xinwei Telecom Technology Co/Tsinghua University,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051A,40136,2014
Lingqiao-A,China,104.195396,35.86166,Changchun Institute of Optics,China,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,664,0.00178,98.04,97.75,95,12,14,5,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057B,40959,2015
Lingqiao-B,China,104.195396,35.86166,Changchun Institute of Optics,China,Commercial,Earth Observation,Optical Imaging (video),LEO,Sun-Synchronous,0,639,663,0.00171,98.04,97.74,95,12,14,5,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057C,40960,2015
LQSat,China,104.195396,35.86166,Changchun Institute of Optics,China,Commercial,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,640,663,0.00164,98.04,97.77,55,12,14,5,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958,2015
Palapa D1,China,104.195396,35.86166,PT Indosat,Indonesia,Commercial,Communications,Optical Imaging,GEO,Non-Polar Inclined,150.97,35780,35792,0.000142,0.07,1436.09,4100,1740,6000,15,Thales Alenia Space,France,Xichang Satellite Launch Center,Long March 3B,2009-046A,35812,2009
Sinosat-6,China,104.195396,35.86166,China Direct Broadcast Satellite co.,China,Commercial,Communications,Earth Science,GEO,Non-Polar Inclined,0,35794,35796,2.37E-05,0.3,1436.1,5000,543,7700,15,Chinese Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2010-042A,37150,2010
GATOSS,Denmark,-95.712891,37.09024,GomSpace ApS,Denmark,Commercial,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,593,819,0.016,97.7,98.9,5,2500,14000,2,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr,2013-066Q,39430,2013
Eutelsat 28B,France,-3.435973,55.378052,European Telecommunications Satellite Consortium (EUTELSAT),Multinational,Commercial,Communications,Automatic Identification System (AIS),GEO,Non-Polar Inclined,48,35764,35808,0.000522,0.12,1436.08,3460,1555,7000,15,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,2008
Eutelsat 12 West A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-12.43,35768,35805,0.000439,0.11,1436.1,2700,1550,5100,15,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2002-040A,27508,2002
Eutelsat 16C,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,35.96,35754,35817,0.000747,0.07,1436.06,2500,1550,5600,15,Alcatel Space/NPO PM (Applied Mechanics),France/Russia,Baikonur Cosmodrome,Proton K,2000-019A,26243,2000
Eutelsat 33A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,33.14,35781,35790,0.000107,0.05,1436.06,1525,1300,1600,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2003-043A,27948,2003
Eutelsat 33B,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,25.5,35780,35790,0.000119,0.02,1436.04,3170,1900,5900,12,Alcatel Space Industries,France,Cape Canaveral,Atlas IIAS,2002-051A,27554,2002
Eutelsat 33C,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,33,35788,35794,7.12E-05,0.07,1436.1,2950,1375,5900,12,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2001-011A,26719,2001
Eutelsat 36A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,36.09,35766,35806,0.000474,0.07,1436.08,3190,1380,6000,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 3A,2000-028A,26369,2000
Eutelsat 36B,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,36,35786,35787,1.19E-05,0.07,1436.09,5600,1380,13200,15,Thales Alenia Space,France,Baikonur Cosmodrome,Breeze M,2009-065A,36101,2009
Eutelsat 5 West A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-4.93,35769,35805,0.000427,0.04,1436.08,4050,1805,11000,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5,2002-035A,27460,2002
Eutelsat 7 West A,France,-95.712891,37.09024,Eutelsat S.A./Nilesat,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-7,35774,35799,0.000297,0.06,1436.09,4600,1805,12000,15,Astrium,France,Sea Launch (Odyssey),Zenit 3SL,2011-051A,37816,2011
Eutelsat 8 West A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-12.5,35766,35806,0.000474,0.06,1436.1,3150,1368,7400,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 4,2001-042A,26927,2001
Eutelsat Hot Bird 13A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,33,35756,35815,0.0007,0.09,1436.06,3800,1900,9000,12,Alcatel Space Industries,France,Cape Canaveral,Atlas 5,2002-038A,27499,2002
Eutelsat 9A,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-30.01,35775,35799,0.000285,0.07,1436.1,4100,1740,10000,15,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5,2006-007B,28945,2006
Eutelsat Hot Bird 13D,France,-95.712891,37.09024,Eutelsat S.A.,Multinational,Commercial,Communications,Optical Imaging,GEO,Elliptical,-0.07,35766,35806,0.000474,0.06,1436.07,4892,2240,11000,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2009-008B,33750,2009
